STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Jharkhand,RAPE,4.34116836383125,5.99067949488876,5.25927020239326,5.78962661630103,5.38241601143674,5.62240517908662,5.92556656732968,5.40226744980194,4.84109884190681,5.13212056831762,5.13290559120073,5.2434456928839
Karnataka,RAPE,1.12900739827374,1.10975980541198,1.2038703870387,1.07737874861163,1.25411334552102,1.44482571789778,1.55630912011422,1.57385842331851,1.77624232272473,2.0228520142221,2.17227952729012,2.09917858229389
Kerala,RAPE,3.43248030293776,3.0211297451111,2.36494597839136,2.85697279923814,2.82189031229707,3.51997188707977,2.97570614901778,3.27641901245962,3.25277745962662,3.60534546488484,6.39403524627203,5.71861496155789
Madhya Pradesh,RAPE,9.86368668696374,9.80332316039335,9.10572350261066,9.38285304004438,9.35947963728412,9.12724640417965,9.30966225411357,8.93085203430031,8.9663835387008,9.2254723088694,9.86474353404582,9.76646040662694
Maharashtra,RAPE,2.801325358234,2.8635574194095,2.64409041621486,2.85004414693743,3.12474718873878,2.98917917139953,2.8497918139681,3.0163985208418,2.8311251956779,3.0110159118727,3.16077003121748,3.37313597094591
Manipur,RAPE,1.86741363211951,1.28913443830571,1.63636363636364,2.78276481149013,2.21434898139947,3.49956255468066,1.7286084701815,3.24508966695132,2.61382799325464,2.83333333333333,4.36573311367381,5.12611879576892
Meghalaya,RAPE,2.27471566054243,3.28151986183074,3.41005967604433,4.54163162321278,5.23255813953488,6.07054963084496,6.645056726094,7.04,8.85375494071146,11.640625,10.0308641975309,12.509534706331
Mizoram,RAPE,12.1212121212121,17.4712643678161,12.2448979591837,4.47427293064877,8.1858407079646,15.7205240174673,17.8879310344828,16.3829787234043,17.4736842105263,19.1268191268191,15.8110882956879,20.8924949290061
Nagaland,RAPE,1.80275715800636,1.77824267782427,1.44628099173554,1.8348623853211,1.71198388721047,2.28628230616302,1.27576054955839,1.84287099903007,2.10727969348659,1.51515151515152,2.15154349859682,1.94085027726433
Odisha,RAPE,4.35405643738977,3.76259188674108,3.90204520990312,4.09814253020384,4.20659155522797,5.1312773494478,4.8419532821121,5.68263045032166,5.17293689320388,5.13449882282222,5.51915822910463,7.17166748647319
Punjab,RAPE,2.62001055037806,2.59548611111111,3.25704979857718,3.30116810563738,3.32775919732441,3.65168539325843,4.238464679461,4.1740674955595,4.07984031936128,4.31245557222968,3.74452782989368,5.26315789473684
